18/01/13 19:04:10 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
18/01/13 19:04:10 INFO client.RMProxy: Connecting to ResourceManager at saber-02/10.7.56.159:8032
Running on 1 nodes to sort from hdfs://saber-02:8020/HiBench/Sort/Input into hdfs://saber-02:8020/HiBench/Sort/Output with 50 reduces.
Job started: Sat Jan 13 19:04:11 PST 2018
18/01/13 19:04:11 INFO client.RMProxy: Connecting to ResourceManager at saber-02/10.7.56.159:8032
18/01/13 19:04:12 INFO input.FileInputFormat: Total input paths to process : 50
18/01/13 19:04:12 INFO mapreduce.JobSubmitter: number of splits:1150
18/01/13 19:04:12 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1515893927554_0006
18/01/13 19:04:12 INFO impl.YarnClientImpl: Submitted application application_1515893927554_0006
18/01/13 19:04:12 INFO mapreduce.Job: The url to track the job: http://saber-02:8088/proxy/application_1515893927554_0006/
18/01/13 19:04:12 INFO mapreduce.Job: Running job: job_1515893927554_0006
18/01/13 19:04:20 INFO mapreduce.Job: Job job_1515893927554_0006 running in uber mode : false
18/01/13 19:04:20 INFO mapreduce.Job:  map 0% reduce 0%
18/01/13 19:06:48 INFO mapreduce.Job:  map 1% reduce 0%
18/01/13 19:07:02 INFO mapreduce.Job:  map 2% reduce 0%
18/01/13 19:07:28 INFO mapreduce.Job:  map 3% reduce 0%
18/01/13 19:07:35 INFO mapreduce.Job:  map 4% reduce 0%
18/01/13 19:07:47 INFO mapreduce.Job:  map 5% reduce 0%
18/01/13 19:07:57 INFO mapreduce.Job:  map 6% reduce 0%
18/01/13 19:08:08 INFO mapreduce.Job:  map 7% reduce 0%
18/01/13 19:08:18 INFO mapreduce.Job:  map 8% reduce 0%
18/01/13 19:08:29 INFO mapreduce.Job:  map 9% reduce 0%
18/01/13 19:08:39 INFO mapreduce.Job:  map 10% reduce 0%
18/01/13 19:08:43 INFO mapreduce.Job:  map 11% reduce 0%
18/01/13 19:08:52 INFO mapreduce.Job:  map 12% reduce 0%
18/01/13 19:08:56 INFO mapreduce.Job:  map 13% reduce 0%
18/01/13 19:09:03 INFO mapreduce.Job:  map 14% reduce 0%
18/01/13 19:09:09 INFO mapreduce.Job:  map 15% reduce 0%
18/01/13 19:09:15 INFO mapreduce.Job:  map 16% reduce 0%
18/01/13 19:09:21 INFO mapreduce.Job:  map 17% reduce 0%
18/01/13 19:09:25 INFO mapreduce.Job:  map 18% reduce 0%
18/01/13 19:09:32 INFO mapreduce.Job:  map 19% reduce 0%
18/01/13 19:09:36 INFO mapreduce.Job:  map 20% reduce 0%
18/01/13 19:09:38 INFO mapreduce.Job:  map 21% reduce 0%
18/01/13 19:09:42 INFO mapreduce.Job:  map 22% reduce 0%
18/01/13 19:09:49 INFO mapreduce.Job:  map 23% reduce 0%
18/01/13 19:10:04 INFO mapreduce.Job:  map 24% reduce 0%
18/01/13 19:10:08 INFO mapreduce.Job:  map 24% reduce 1%
18/01/13 19:10:20 INFO mapreduce.Job:  map 24% reduce 2%
18/01/13 19:10:34 INFO mapreduce.Job:  map 24% reduce 3%
18/01/13 19:10:47 INFO mapreduce.Job:  map 24% reduce 4%
18/01/13 19:11:08 INFO mapreduce.Job:  map 24% reduce 5%
18/01/13 19:11:09 INFO mapreduce.Job:  map 25% reduce 5%
18/01/13 19:12:04 INFO mapreduce.Job:  map 26% reduce 5%
18/01/13 19:12:12 INFO mapreduce.Job:  map 26% reduce 6%
18/01/13 19:12:40 INFO mapreduce.Job:  map 27% reduce 6%
18/01/13 19:12:54 INFO mapreduce.Job:  map 27% reduce 7%
18/01/13 19:13:00 INFO mapreduce.Job:  map 28% reduce 7%
18/01/13 19:13:12 INFO mapreduce.Job:  map 29% reduce 7%
18/01/13 19:13:22 INFO mapreduce.Job:  map 30% reduce 7%
18/01/13 19:13:29 INFO mapreduce.Job:  map 31% reduce 7%
18/01/13 19:13:38 INFO mapreduce.Job:  map 32% reduce 7%
18/01/13 19:13:44 INFO mapreduce.Job:  map 33% reduce 7%
18/01/13 19:13:51 INFO mapreduce.Job:  map 34% reduce 7%
18/01/13 19:13:53 INFO mapreduce.Job:  map 34% reduce 8%
18/01/13 19:13:57 INFO mapreduce.Job:  map 35% reduce 8%
18/01/13 19:14:05 INFO mapreduce.Job:  map 36% reduce 8%
18/01/13 19:14:15 INFO mapreduce.Job:  map 37% reduce 8%
18/01/13 19:14:23 INFO mapreduce.Job:  map 38% reduce 8%
18/01/13 19:14:33 INFO mapreduce.Job:  map 39% reduce 8%
18/01/13 19:14:35 INFO mapreduce.Job:  map 39% reduce 9%
18/01/13 19:14:41 INFO mapreduce.Job:  map 40% reduce 9%
18/01/13 19:14:49 INFO mapreduce.Job:  map 41% reduce 9%
18/01/13 19:14:58 INFO mapreduce.Job:  map 42% reduce 9%
18/01/13 19:15:07 INFO mapreduce.Job:  map 42% reduce 10%
18/01/13 19:15:22 INFO mapreduce.Job:  map 43% reduce 10%
18/01/13 19:15:24 INFO mapreduce.Job:  map 43% reduce 11%
18/01/13 19:15:41 INFO mapreduce.Job:  map 43% reduce 12%
